brand, price, size, percent_savings, item_link
Enzoani,$1'090,4,70%,https://www.stillwhite.com//199242-enzoani
Lazaro,$900,4,74%,https://www.stillwhite.com//199238-lazaro
Theia,$500,4,64%,https://www.stillwhite.com//199231-theia
Made With Love,$1'450,6,41%,https://www.stillwhite.com//199226-made-with-love
Milla Nova,$760,6,60%,https://www.stillwhite.com//199221-milla-nova
A-Line,$400,6,N/A,https://www.stillwhite.com//197198-a-line
Wtoo,$800,6,33%,https://www.stillwhite.com//199176-wtoo
Maggie Sottero,$790,4,44%,https://www.stillwhite.com//152175-maggie-sottero
Paloma Blanca,$990,4,54%,https://www.stillwhite.com//199155-paloma-blanca
A-Line,$250,4,N/A,https://www.stillwhite.com//199141-a-line
Grace Loves Lace,$1'450,4,33%,https://www.stillwhite.com//199140-grace-loves-lace
Grace Loves Lace,$1'270,6,20%,https://www.stillwhite.com//199136-grace-loves-lace
Made With Love,$1'340,4,38%,https://www.stillwhite.com//197001-made-with-love
Ballgown,$180,6,N/A,https://www.stillwhite.com//199124-ballgown
Needle & Thread,$670,6,35%,https://www.stillwhite.com//199076-needle-and-thread
BHLDN,$880,4,25%,https://www.stillwhite.com//199073-bhldn
Allure Bridals,$1'310,6,36%,https://www.stillwhite.com//199066-allure-bridals
Grace Loves Lace,$1'080,4,65%,https://www.stillwhite.com//197478-grace-loves-lace
Truvelle,$1'410,6,21%,https://www.stillwhite.com//197525-truvelle
Allure Romance,$700,6,56%,https://www.stillwhite.com//199028-allure-romance
Marisa,$500,6,83%,https://www.stillwhite.com//199026-marisa
Watters,$1'500,6,11%,https://www.stillwhite.com//199018-watters
Katie May,$600,4,78%,https://www.stillwhite.com//199000-katie-may
Rime Arodaky,$1'300,6,26%,https://www.stillwhite.com//198127-rime-arodaky
Kate Gubanyi,$1'450,4, 5%,https://www.stillwhite.com//198506-kate-gubanyi
Kate Gubanyi,$1'450,4, 5%,https://www.stillwhite.com//198508-kate-gubanyi
David's Bridal,$500,6,67%,https://www.stillwhite.com//198952-davids-bridal
Kenneth Winston,$175,6,94%,https://www.stillwhite.com//198953-kenneth-winston
Fit & Flare,$1'310,4,55%,https://www.stillwhite.com//198950-fit-and-flare
A-Line,$580,4,73%,https://www.stillwhite.com//198846-a-line
Christina Wu,$700,6,48%,https://www.stillwhite.com//198805-christina-wu
Rue De Seine,$1'320,6,52%,https://www.stillwhite.com//198782-rue-de-seine
Sassi Holford,$1'190,6,57%,https://www.stillwhite.com//198759-sassi-holford
Pronovias,$1'170,4,50%,https://www.stillwhite.com//198743-pronovias
Trumpet,$1'400,4,43%,https://www.stillwhite.com//198719-trumpet
Pronovias,$700,6,77%,https://www.stillwhite.com//188554-pronovias
L'Amour,$1'250,4,N/A,https://www.stillwhite.com//195845-lamour
Sottero and Midgley,$700,6,71%,https://www.stillwhite.com//185441-sottero-and-midgley
Madi Lane,$500,4,75%,https://www.stillwhite.com//198683-madi-lane
Justin Alexander,$850,4,38%,https://www.stillwhite.com//198647-justin-alexander
Martin Thornburg,$1'200,4,56%,https://www.stillwhite.com//198634-martin-thornburg
Maggie Sottero,$1'090,4,50%,https://www.stillwhite.com//112078-maggie-sottero
Sophia Tolli,$460,6,82%,https://www.stillwhite.com//198614-sophia-tolli
Grace Loves Lace,$950,6,52%,https://www.stillwhite.com//198610-grace-loves-lace
Essense of Australia,$1'500,6,32%,https://www.stillwhite.com//198598-essense-of-australia
Made With Love,$1'050,4,77%,https://www.stillwhite.com//198581-made-with-love
Spell And The Gypsy,$550,6,25%,https://www.stillwhite.com//198545-spell-and-the-gypsy
A-Line,$810,6,N/A,https://www.stillwhite.com//198538-a-line
Daria Karlozi,$800,6,50%,https://www.stillwhite.com//198527-daria-karlozi
Allure Bridals,$1'040,6,33%,https://www.stillwhite.com//198536-allure-bridals
Marisa,$900,6,70%,https://www.stillwhite.com//198510-marisa
Vera Wang White,$800,6,33%,https://www.stillwhite.com//198469-vera-wang-white
Morilee,$1'300,4,32%,https://www.stillwhite.com//198434-morilee
Freda Bennet,$1'320,4,46%,https://www.stillwhite.com//198426-freda-bennet
Essense of Australia,$640,4,68%,https://www.stillwhite.com//198409-essense-of-australia
Grace Loves Lace,$1'130,4,45%,https://www.stillwhite.com//198407-grace-loves-lace
Grace Loves Lace,$980,6,50%,https://www.stillwhite.com//198406-grace-loves-lace
Karen Willis Holmes,$1'340,6,66%,https://www.stillwhite.com//182797-karen-willis-holmes
Made With Love,$1'310,4,49%,https://www.stillwhite.com//198393-made-with-love
Wendy Makin,$730,6,76%,https://www.stillwhite.com//198389-wendy-makin
Zavana Bridal,$1'450,6,29%,https://www.stillwhite.com//198385-zavana-bridal
Shauna Fay,$1'100,6,N/A,https://www.stillwhite.com//198366-shauna-fay
Jane Hill,$1'340,4,74%,https://www.stillwhite.com//167418-jane-hill
Hayley Paige,$759,4,64%,https://www.stillwhite.com//177098-hayley-paige
Allure Bridals,$1'104,6,26%,https://www.stillwhite.com//193641-allure-bridals
Jane Hill,$1'340,6,69%,https://www.stillwhite.com//132075-jane-hill
Essense of Australia,$1'000,4,47%,https://www.stillwhite.com//198353-essense-of-australia
BHLDN,$900,4,36%,https://www.stillwhite.com//162891-bhldn
Oleg Cassini,$299,6,N/A,https://www.stillwhite.com//198292-oleg-cassini
Allure Bridals,$650,6,63%,https://www.stillwhite.com//198283-allure-bridals
Mikaella,$920,4,50%,https://www.stillwhite.com//198281-mikaella
